Left,Right
50,1192
10,164
148,1406
81,837
79,646
50,877
5,275
60,858
133,1257
119,1406
17,234
73,261
97,962
93,689
113,1102
45,1411
47,1120
71,179
112,152
100,335
73,764
44,624
21,499
110,451
107,500
139,346
45,604
111,730
12,500
58,785
121,160
47,637
58,1606
20,892
87,1034
68,1075
103,1137
66,1445
34,486
141,537
4,473
5,1048
75,521
56,1271
101,1363
137,411
113,243
20,1649
8,1319
140,1645
20,765
42,280
73,263
105,475
113,903
133,1616
32,1231
98,1176
38,853
103,346
120,1062
100,1440
143,895
126,1417
128,972
115,222
88,429
27,190
140,781
125,372
50,1423
117,335
141,798
1,1341
108,284
103,1623
130,1567
38,1045
29,1502
67,853
67,451
112,1057
133,671
122,1150
17,1028
6,209
134,687
62,469
97,1005
22,184
21,994
108,1135
24,869
30,403
56,1377
16,947
10,1327
46,953
2,177
83,650
137,679
35,874
144,969
3,961
14,734
130,1315
144,1562
53,1637
84,736
148,385
3,1381
90,782
128,1345
76,1227
13,588
95,751
146,229
35,1549
50,1616
29,750
147,660
115,1013
75,1148
34,687
86,1266
8,809
77,1575
123,1243
58,449
148,822
29,1010
55,674
33,818
72,878
135,625
8,214
41,344
81,806
52,1065
117,661
145,1066
11,624
2,224
83,1499
119,785
69,698
50,1292
51,881
48,321
71,1205
111,636
125,950
57,1315
13,160
12,216
146,941
130,1072
54,312
111,1441
11,1632
80,996
30,1409
73,152
25,929
142,1457
108,478
117,1615
12,1567
33,436
97,1632
39,1552
130,685
146,1398
75,447
116,1288
13,933
90,362
49,914
70,307
72,964
63,1292
53,944
137,980
104,1532
98,1311
59,1310
43,558
75,1068
99,1398
121,562
16,508
143,267
18,1109
98,1402
93,603
144,906
118,1034
147,861
24,975
131,1528
145,713
4,1285
144,1028
55,1634
15,496
54,1384
88,1046
24,801
13,399
128,1222
51,1257
125,480
110,957
120,863
14,1619
26,1414
116,1113
68,278
115,960
83,465
79,305
13,656
60,895
63,1432
56,1107
136,461
49,985
47,526
123,1200
132,706
21,975
59,712
111,1440
14,442
16,672
81,1176
78,447
84,734
21,1271
134,495
130,1540
109,1161
107,1414
24,1555
28,1632
128,249
113,391
92,772
65,472
80,348
108,958
82,297
63,1033
127,1022
35,1604
101,973
38,1586
46,1614
35,1104
26,613
89,1611
72,290
29,1114
112,937
13,523
97,1636
5,1197
147,1241
73,373
93,1270
117,1139
6,1343
124,1327
138,224
129,522
145,1221
6,1505
138,1028
94,1622
44,1130
39,1117
24,1610
29,752
11,1228
136,1559
92,1499
115,1388
54,176
112,1279
131,907
49,980
60,415
64,1250
117,236
56,987
22,977
65,837
95,227
86,1339
3,456
70,529
110,1447
4,339
93,1125
91,1068
130,818
81,884
83,1189
2,1509
15,1205
50,1298
42,1163
64,847
100,1488
108,1509
99,1052
145,1001
24,611
100,269
96,687
78,292
103,574
55,405
133,953
58,836
120,1618
126,639
56,831
141,1230
88,1459
40,220
34,192
44,978
89,621
58,153
10,707
146,821
42,958
2,945
7,166
39,1572
49,1509
71,966
118,973
97,1294
52,540
105,279
78,1326
4,647
64,1251
108,413
4,989
79,1152
133,1123
47,552
66,1289
24,513
89,660
41,464
88,379
74,1348
143,1421
112,1579
121,1506
51,720
74,1179
82,213
106,1384
96,1532
89,178
7,500
87,574
64,650
28,507
39,236
76,218
102,525
69,1569
82,920
93,700
45,798
147,1084
141,918
134,741
98,421
52,188
127,419
121,1128
39,1329
83,259
37,1204
122,1208
141,974
7,1641
34,1583
109,230
26,1469
149,1486
107,1446
41,694
99,1355
59,631
142,696
43,1597
51,1106
111,1364
16,562
17,737
70,675
73,314
112,1274
81,160
24,341
146,726
8,1215
18,1258
91,212
74,1431
77,788
32,1441
52,881
100,382
127,844
100,841
117,1271
83,211
67,983
123,158
2,484
49,1631
115,716
132,1231
10,1033
58,810
81,796
87,492
135,1020
65,506
123,1026
20,363
133,1598
5,1646
121,374
73,340
83,570
8,340
93,725
72,1462
93,1053
127,1519
56,280
122,305
127,1152
44,1586
78,1574
32,363
145,1195
8,479
82,991
121,1209
108,514
93,389
99,919
91,221
43,1016
39,910
81,1274
85,1575
132,1640
64,802
64,1235
92,428
3,1198
149,996
25,820
104,1530
63,1038
66,1356
102,837
146,262
31,863
82,876
33,840
20,1190
82,531
119,1252
1,1085
71,367
17,614
85,179
9,162
99,1246
66,353
12,1526
33,270
115,416
73,1017
104,643
135,263
116,190
94,291
131,303
20,1354
146,1034
77,707
73,1289
114,407
126,1620
25,764
113,1139
105,1334
84,1299
144,1416
95,282
143,1646
94,1017
77,441
66,685
84,624
23,397
104,1286
25,1334
101,1137
142,1503
92,1497
119,868
25,1434
147,1450
142,669
127,1252
90,211
14,1003
136,1486
63,1224
99,635
43,1041
15,1635
96,1642
143,160
76,893
42,1192
98,1255
2,1282
125,951
116,1406
135,953
85,244
50,658
126,469
32,575
98,1416
38,233
124,703
142,279
105,764
60,297
47,1405
40,760
31,862
138,722
134,1629
16,961
79,711
38,1110
139,1126
22,522
107,679
141,1006
40,1525
107,1344
37,639
100,1618
88,1455
31,985
22,660
31,770
84,1568
133,1287
13,646
8,1507
92,1266
46,636
57,1384
137,214
80,260
125,347
134,1188
134,1199
51,1127
131,1415
72,1235
51,1622
47,320
92,1534
147,1353
73,1345
47,1106
146,1533
135,484
133,450
90,416
16,681
52,1544
48,1217
130,798
98,1597
134,1382
94,987
28,772
96,659
52,1395
54,192
145,300
127,881
77,946
84,160
42,1106
14,976
32,186
21,155
125,1454
98,1586
142,1317
36,1465
72,1293
86,611
19,1632
83,569
28,1522
115,1416
137,422
57,1304
63,1298
134,241
149,1441
77,1583
36,284
78,760
115,1623
64,1325
29,1021
44,719
117,735
91,434
123,1065
115,1550
100,880
138,1561
78,833
1,1028
24,1078
125,510
52,867
76,1446
138,506
43,497
72,1217
46,1142
35,1314
79,494
84,1618
57,293
5,1108
69,1627
27,745
9,803
132,1352
118,934
147,1057
67,808
20,485
38,1142
52,899
137,1630
39,367
92,905
14,414
31,1029
129,384
64,176
62,546
66,559
45,705
47,575
137,988
135,987
117,1059
101,1638
133,929
18,606
119,1403
51,1234
4,1106
31,231
43,1013
30,623
117,193
149,1573
87,200
10,272
24,474
24,934
85,787
85,1223
77,1115
86,1419
17,597
46,864
128,300
78,226
55,1488
144,1549
68,1459
62,986
146,865
48,618
62,184
60,1025
33,701
116,608
10,1280
40,1092
30,917
56,739
13,226
141,732
37,797
12,520
80,1341
36,806
73,1599
7,987
88,1631
117,1024
119,816
35,905
116,1303
131,934
73,817
46,1466
104,1210
109,595
71,904
131,1137
116,779
100,1114
36,330
9,479
11,376
100,1517
40,747
131,1630
46,603
20,1343
130,749
66,986
144,1455
42,711
63,473
40,288
133,268
133,1372
62,544
135,255
124,1048
123,1099
62,962
94,726
140,900
125,802
35,817
77,237
120,1360
129,883
33,1610
102,853
47,1252
78,382
94,1064
147,909
102,1426
94,225
105,1505
112,1104
9,1137
69,701
28,851
60,1458
39,506
66,561
59,1342
71,1406
8,851
20,749
59,602
138,482
95,1296
116,1192
49,571
87,1095
94,830
13,1609
129,1277
28,1205
2,1048
12,1273
130,1571
53,196
19,1486
84,410
41,1039
25,893
45,225
35,341
149,449
6,599
19,959
139,1127
98,876
13,894
63,525
83,631
128,1647
4,1213
104,206
77,404
140,1090
14,238
132,208
98,1435
141,1598
63,1361
43,783
78,378
15,309
98,368
95,1238
82,663
23,1384
32,517
76,658
31,804
33,925
57,1646
102,1238
112,702
54,404
49,321
106,389
52,631
35,1322
93,840
28,531
147,561
107,1593
38,483
59,884
88,243
52,1091
17,697
49,563
68,1089
61,1046
59,667
21,980
43,1280
65,931
52,987
96,948
132,283
129,1101
95,1341
11,1278
119,1315
148,1467
48,843
110,530
46,1147
141,559
85,1392
72,1586
40,1122
80,1231
83,1507
7,496
45,745
2,1261
28,1419
34,794
74,1389
114,1447
143,588
132,1375
93,1101
119,530
104,593
58,1370
24,912
59,1517
132,1614
138,1408
143,768
124,822
138,1561
149,983
142,646
10,1632
132,930
5,208
73,327
59,402
54,667
52,1606
1,1475
93,1067
26,1279
28,205
139,293
131,819
59,646
7,586
60,1490
138,769
126,271
126,433
52,1600
84,1174
89,266
25,750
83,1222
138,1070
9,1443
117,837
18,651
144,920
140,161
35,540
94,1521
59,1616
46,1485
36,1590
12,301
110,1144
51,1122
141,1484
38,873
99,1390
6,1299
90,601
45,810
119,207
8,975
68,1372
144,240
31,1230
139,1258
54,1069
35,1477
106,1070
106,1036
2,1007
29,571
103,975
93,1005
129,1376
53,1543
107,546
132,1022
27,1336
135,1239
149,733
107,1427
18,1622
33,316
46,684
25,828
53,863
63,597
1,508
108,155
68,799
121,1135
90,601
24,775
136,651
134,460
132,565
18,1587
38,727
97,986
134,448
126,641
29,1352
131,942
61,849
17,930
126,1054
134,1633
76,710
123,223
57,524
143,537
107,1529
103,599
18,1224
43,1406
141,266
111,170
30,1496
60,254
118,785
119,1517
83,1596
64,371
15,946
94,1647
1,1039
39,164
111,380
6,767
60,1356
29,1630
58,1573
58,175
34,1200
132,536
146,316
95,1112
80,697
110,185
24,1120
128,170
42,1027
106,558
43,780
112,788
51,1462
122,1190
48,805
59,1298
78,1562
21,401
77,731
20,945
147,1572
109,569
35,1214
131,228
73,996
21,201
13,270
5,1049
48,902
77,155
76,808
126,638
109,280
18,532
85,811
76,1552
26,1607
3,348
7,1242
33,1562
128,428
95,1343
22,1483
141,529
139,1172
51,890
145,1510
39,1133
68,558
95,836
45,973
98,956
101,170
2,846
137,1200
17,786
149,584
75,937
92,1177
70,1162
35,1498
62,725
123,1305
105,654
134,1028
17,1051
51,900
148,1284
77,207
120,1312
18,1404
129,865
8,1562
17,690
79,517
67,871
145,602
100,1541
80,911
134,270
58,1001
94,568
30,608
75,492
106,198
141,1010
11,350
52,691
122,939
32,573
76,558
97,891
4,525
28,1291
44,1294
143,416
105,273
123,1335
24,799
70,1641
49,277
59,1048
44,490
138,633
81,1249
61,600
40,885
17,1277
61,1094
54,676
148,1586
54,659
7,1476
106,1441
129,1287
65,859
7,817
116,1564
30,371
37,639
63,781
51,349
42,401
31,1544
51,1183
130,1210
90,253
34,342
13,1011
105,727
49,1065
132,1279
108,1019
136,1226
96,780
51,1437
142,1385
130,627
50,1552
109,1312
71,1128
65,450
73,1043
136,670
93,458
143,724
47,1351
138,1082
86,1159
72,558
47,665
49,802
101,741
45,194
114,161
111,242
45,814
11,528
91,987
27,1446
136,1320
41,543
44,346
128,1270
43,1197
54,1388
46,1535
48,1225
38,446
116,790
41,369
108,1176
92,1267
39,600
68,483
113,1095
130,586
113,1640
11,675
69,1319
37,596
12,1157
107,826
148,826
1,865
49,1076
142,1161
129,477
88,196
144,879
11,910
119,979
59,373
111,599
76,218
56,1634
13,1425
31,780
132,196
46,791
34,843
19,1434
59,538
143,501
79,1300
70,468
96,944
135,345
56,317
136,1376
23,1170
59,781
110,559
68,204
16,965
35,1182
147,563
56,236
84,1071
62,1326
23,1047
122,1035
68,1413
78,202
45,373
122,1280
29,1628
71,1331
30,1251
11,820
129,677
69,477
108,1368
4,647
38,530
81,1616
5,1626
136,1297
67,737
110,298
57,1209
41,1495
52,1112
118,1491
116,779
45,1410
23,968
58,843
36,672
71,413
129,1065
108,1639
69,1621
91,1247
53,552
70,1257
49,1313
73,1050
143,500
145,1588
1,548
103,1158
128,309
91,978
112,1268
136,1412
31,1526
105,504
45,752
4,616
105,692
138,1372
12,1003
96,1225
94,525
41,518
50,1077
142,1576
120,1523
53,551
86,778
111,699
27,178
109,1431
35,1610
101,1073
86,1342
70,793
124,1341
96,1634
30,778
141,751
137,946
12,792
95,508
104,519
62,389
32,1297
5,1393
77,154
97,428
107,1132
144,910
31,1545
15,303
94,457
55,874
66,429
32,766
46,1122
48,1122
92,1377
147,1566
41,1561
38,935
56,1485
128,1307
123,888
78,366
71,1575
121,1084
112,1629
43,1616
76,157
96,355
143,653
49,339
141,1140
70,188
92,585
3,562
17,354
40,546
69,1079
56,522
5,1095
29,681
37,1575
58,854
87,344
105,192
30,505
83,733
27,960
48,152
85,172
54,1624
110,1367
97,898
31,543
4,272
15,270
38,954
92,1549
8,828
45,991
29,424
48,569
63,1183
6,509
2,392
4,656
52,1427
42,270
121,1623
3,1624
51,466
102,1318
19,915
89,1079
1,987
78,523
80,1269
95,1147
5,1044
145,1300
92,1598
143,1627
77,420
65,224
46,857
91,1118
137,984
51,478
29,1104
51,1208
93,1462
73,246
10,932
93,1031
94,622
85,342
143,626
88,583
73,763
117,1445
96,333
12,706
104,1521
48,228
27,1648
142,675
21,180
143,271
30,344
85,1313
107,380
43,1221
122,365
130,485
142,245
104,766
108,790
126,376
86,327
134,1600
148,294
35,1348
72,856
47,1433
24,965
120,728
27,737
111,607
91,1143
131,1596
19,1251
49,287
100,1525
115,422
114,1480
121,246
92,1404
80,1436
77,208
49,943
35,190
37,630
23,717
119,762
16,326
15,867
81,1123
121,1053
77,1227
28,1259
117,1428
111,767
98,1614
29,1092
73,789
20,1574
135,1023
4,799
126,548
11,1516
72,283
65,637
77,708
101,406
128,212
69,1367
23,1427
138,861
15,1557
6,823
109,956
76,1262
97,1059
70,855
10,308
143,479
34,1503
115,226
123,1366
126,716
52,910
43,1241
110,509
87,522
3,1529
117,1267
73,1612
55,597
125,323
86,1514
86,439
22,1449
148,327
99,1581
108,1418
82,555
118,484
29,945
101,1367
138,247
49,1118
139,1196
101,1376
132,538
10,959
139,609
112,1206
29,1368
67,948
143,1255
28,1590
62,1359
36,574
90,1262
46,166
80,1539
48,634
48,1486
62,655
131,619
39,1567
117,311
32,1056
144,231
88,1065
123,1185
59,818
24,916
61,1436
8,1438
9,240
79,772
11,1585
106,1531
43,375
39,1395
121,880
130,1402
99,1314
86,633
29,1513
102,259
91,1128
12,1117
2,405
3,567
137,873
133,1560
104,775
134,430
119,295
73,1074
104,788
67,200
148,1164
124,1167
50,934
98,1496
81,701
106,1484
78,547
82,1349
15,1004
137,1358
147,1134
103,646
59,351
26,1227
92,210
115,676
39,1458
16,371
116,974
59,1020
123,1204
2,672
95,847
47,643
133,414
128,1327
45,717
26,302
98,454
86,1620
99,182
136,419
49,1157
125,1494
16,716
138,1235
49,410
110,397
78,1643
1,1029
127,344
109,947
140,630
90,936
71,1296
23,779
25,1166
70,705
50,984
50,1578
59,548
89,664
20,1201
144,727
12,1014
67,1080
58,1175
5,1393
55,1104
29,1330
23,903
53,1155
33,906
14,425
132,391
116,406
128,1442
70,324
104,229
60,906
35,1269
111,334
107,1258
60,1349
128,799
69,847
121,976
97,1208
128,1159
138,291
32,447
39,312
8,329
38,1221
21,1621
123,1583
94,398
73,978
114,1612
113,641
136,1027
92,1015
125,232
30,850
129,281
79,319
139,574
11,1280
100,426
113,500
110,1389
70,1315
88,653
64,1241
45,1323
117,1220
85,257
111,890
13,673
23,1469
70,1012
2,1191
26,1065
66,713
38,1625
142,747
37,471
130,589
71,1007
117,281
104,616
91,1089
98,1531
33,304
36,686
30,332
28,1225
44,681
39,919
46,271
131,1056
107,1128
115,830
92,1527
53,837
12,1513
48,605
104,928
100,967
79,704
141,210
137,592
102,490
90,1585
19,1011
84,1369
126,512
10,860
62,367
117,304
149,1333
1,1244
16,1018
91,1238
66,974
120,1051
127,346
91,296
116,895
141,334
94,593
127,373
96,906
13,1089
105,982
107,379
20,846
107,174
28,159
45,543
122,1205
140,1283
98,318
35,781
140,1616
32,1056
87,866
106,889
22,864
16,1161
114,998
96,262
45,874
2,225
83,1474
21,1389
130,1244
135,1404
23,567
65,173
62,1626
59,394
20,737
144,817
73,336
54,320
101,1483
103,1010
136,1241
47,1163
90,237
51,719
127,672
73,587
104,619
63,947
105,1387
145,156
11,1456
56,678
97,1414
101,530
103,1045
1,200
69,1181
4,210
41,211
95,366
122,587
126,874
70,533
147,1520
131,441
75,1113
77,235
45,390
140,1381
61,1293
81,1527
103,158
2,1506
74,1354
103,1053
111,1355
109,990
105,1386
23,527
23,1649
137,458
71,1358
115,830
148,565
113,759
59,1531
130,226
118,290
121,899
143,1085
58,1171
51,1195
7,678
17,1242
79,1087
105,1413
3,1638
82,1480
89,1107
149,1156
56,1475
20,443
136,798
70,1581
28,1257
138,1141
53,445
113,172
87,1541
51,1527
4,887
113,390
26,1342
91,1348
118,920
61,489
85,420
110,709
71,364
141,487
94,934
61,333
56,1049
109,1646
49,684
88,626
30,648
17,1528
148,1345
60,953
41,662
61,1327
20,470
42,895
51,1578
135,1173
44,386
142,795
44,204
80,980
23,1141
98,1060
65,907
134,593
144,248
147,1090
113,201
126,1432
9,978
59,1378
92,1612
61,1294
71,1045
129,1298
86,1394
124,1113
70,1128
101,183
111,178
24,421
104,1550
95,472
45,572
43,314
94,1130
135,761
54,1021
141,820
59,594
115,1116
127,222
28,509
135,833
66,488
148,193
130,400
81,264
71,1484
125,972
126,484
58,657
26,1629
55,1609
5,1451
50,608
91,1305
130,795
10,208
31,745
84,592
72,940
107,1418
82,662
72,526
76,666
67,1276
55,835
140,869
41,785
77,239
52,412
127,1329
128,1503
51,781
31,906
29,659
117,609
110,1284
39,929
90,1104
126,1521
128,1433
95,1155
115,269
62,1311
130,1177
72,1447
89,856
88,1280
58,1241
96,682
55,1042
115,1592
104,1236
93,1441
4,1415
5,163
65,1055
16,1252
139,942
77,160
44,282
101,1512
41,483
44,638
113,573
5,211
60,1098
10,1184
104,948
29,218
138,1451
134,956
4,529
89,686
136,345
136,173
138,683
12,997
30,720
10,446
11,739
25,351
50,1464
25,358
6,936
56,972
61,1583
136,1032
29,1053
40,363
79,1363
105,1479
14,380
68,905
122,1416
62,1234
76,1371
13,1609
46,1255
113,1178
126,1314
52,913
52,156
41,1495
54,1620
49,908
57,865
90,527
16,626
117,904
77,878
105,1230
138,785
82,656
54,1599
70,945
112,1587
52,381
54,1007
148,258
128,1405
11,860
131,1618
88,980
59,1239
92,1145
16,1002
49,784
138,1454
2,574
69,1019
19,725
28,1545
104,867
99,455
117,1109
17,230
38,201
27,197
62,1636
24,587
39,308
104,377
107,633
28,455
72,590
46,596
10,936
46,1645
68,1320
44,706
93,681
34,415
82,152
83,626
67,241
119,1526
116,300
87,1041
149,1461
105,865
128,551
77,345
149,958
138,309
63,1527
11,1254
17,1492
47,233
73,332
53,185
120,1346
61,1336
137,1527
121,188
77,870
26,1142
51,1052
76,1640
123,1014
17,922
13,242
28,1485
143,678
149,948
56,1283
142,294
111,1100
88,1439
48,1644
57,291
3,365
129,1121
128,193
98,514
4,545
38,1272
143,1471
23,221
96,1053
88,1239
143,452
136,403
138,809
97,1069
113,984
50,446
122,1005
52,1326
93,1189
35,289
144,904
125,727
118,841
67,1328
9,598
140,788
23,1569
61,494
83,1334
44,820
107,1289
84,1408
91,1342
94,874
47,1269
15,1532
105,1487
1,988
53,835
26,1153
127,496
9,1080
35,1460
83,1166
38,1389
131,788
119,1078
131,1443
27,1168
57,1186
59,1237
111,1094
64,169
116,1131
44,208
105,1437
91,308
66,1467
106,914
81,1234
25,719
144,1089
45,1420
95,283
116,1389
112,807
13,763
43,1301
107,1196
7,1077
107,587
30,838
123,789
83,1104
74,1394
23,346
99,793
27,223
52,1283
149,945
48,966
69,1222
4,649
72,291
100,794
93,1443
41,1078
1,216
63,649
12,1638
142,959
83,1475
66,1319
33,565
16,1612
124,697
80,582
20,317
2,694
58,1240
97,512
26,1173
118,1020
44,377
119,234
33,575
18,1348
47,727
10,1509
79,778
60,229
142,309
40,851
3,163
149,802
142,1552
76,1095
116,459
82,448
10,1580
84,1174
134,466
98,1071
136,674
46,697
40,958
85,503
86,1617
116,1539
139,436
22,298
54,680
17,304
7,774
7,1529
48,813
96,737
116,617
117,971
52,1436
27,1024
15,1504
96,642
111,377
124,665
124,359
67,1533
128,378
36,395
110,1061
26,343
74,1041
5,997
19,327
122,1466
109,439
106,960
30,886
22,489
74,1513
30,925
11,1469
101,984
10,1519
42,971
125,1440
38,716
113,346
123,781
136,199
45,1516
70,589
72,483
116,1454
37,171
77,1031
82,1396
44,245
127,655
26,418
82,557
121,1578
111,1382
145,1137
24,238
14,767
47,1542
97,1489
117,745
75,873
105,397
118,1556
106,1605
90,205
101,206
76,1084
49,787
89,835
110,724
59,329
123,1195
3,1186
72,662
118,214
79,1194
124,1109
117,995
114,500
37,700
56,242
89,500
28,1414
110,714
60,956
61,338
147,1173
47,1501
27,1369
138,1527
76,408
102,857
6,808
11,1191
3,1125
27,775
13,1034
115,1173
118,1476
54,924
38,163
37,1052
21,333
74,178
42,1638
98,1470
127,928
127,1623
121,1125
76,1043
27,804
149,948
149,443
115,322
114,882
105,408
119,912
54,1371
117,716
82,1215
59,754
114,326
82,732
8,451
141,761
126,747
29,1007
74,642
3,325
124,161
149,586
67,343
8,1512
73,514
25,956
99,1450
83,608
102,1050
56,514
80,714
117,1366
23,1519
120,661
7,1219
2,1466
100,1410
120,685
53,857
68,216
74,1521
10,345
143,1227
10,244
148,793
64,587
149,1580
43,662
59,165
70,781
127,371
130,359
52,1170
54,493
84,322
137,266
28,329
20,1012
23,398
66,498
23,1501
82,790
117,255
28,726
25,932
91,197
39,1086
80,354
7,162
67,872
86,1327
42,1003
88,1260
140,941
130,1086
135,411
73,1173
133,1144
50,287
1,159
55,559
97,754
29,1565
51,955
140,748
119,780
19,272
132,1166
102,1496
127,1449
55,1437
81,834
21,650
112,948
115,541
91,1174
84,509
142,1356
1,559
38,787
139,384
33,1356
18,780
120,407
60,1220
84,689
47,957
47,687
139,412
55,174
15,268
81,681
39,754
117,1360
119,1397
22,334
49,967
126,1213
100,1367
18,317
32,886
49,926
125,1254
5,1171
37,723
8,233
60,487
79,509
57,445
57,434
72,245
89,685
25,1590
127,1380
13,350
73,389
74,1571
92,719
148,481
46,388
119,1460
99,622
125,887
142,268
18,1004
127,1099
55,462
45,973
86,846
60,1320
26,337
148,967
130,1446
102,447
111,1186
116,1338
33,169
105,389
56,873
98,722
92,1087
135,1056
64,201
115,1179
58,657
129,1248
37,687
82,1149
91,1174
38,619
20,892
103,927
41,1242
54,588
9,213
130,1545
71,1265
17,920
71,836
21,429
24,497
102,532
98,481
98,316
87,1023
148,376
7,999
122,821
17,1173
16,298
4,1000
118,885
18,1474
39,348
73,1410
111,1398
69,1603
4,418
31,1336
141,1579
118,609
27,457
58,1232
95,1249
54,354
3,255
99,1486
63,1238
34,523
137,793
48,611
133,533
120,242
7,1455
127,741
108,1393
131,364
73,1118
69,976
131,274
103,662
102,280
4,1188
5,639
51,1608
109,1338
25,569
24,688
112,1211
119,390
132,1609
120,853
121,433
65,1597
72,967
48,229
117,1327
103,247
92,700
65,426
46,403
12,471
34,738
122,281
59,771
70,165
31,890
122,1239
24,581
34,547
121,1217
65,1248
125,1550
32,1198
38,1453
88,1048
111,161
136,1315
64,856
27,1424
30,818
86,214
103,1384
46,1366
50,504
24,567
147,1035
102,626
31,575
50,1070
111,165
28,441
11,363
10,506
139,1157
121,503
53,1252
41,446
59,512
86,945
115,168
94,585
37,327
123,825
132,786
7,1632
71,1135
65,530
50,679
60,1074
132,1236
18,617
122,576
32,1469
15,886
145,538
23,389
28,544
84,1081
62,1554
35,338
89,1547
133,673
49,468
108,1442
73,186
117,1516
136,1350
37,723
52,232
71,880
48,549
5,1043
147,1271
103,480
67,1471
35,1046
71,232
104,441
100,1600
28,939
37,501
64,1003
89,1041
45,681
31,251
40,1231
47,157
125,700
122,910
139,1323
122,186
59,539
42,531
21,1231
80,255
93,1148
90,493
134,241
76,1500
30,1094
98,679
55,1211
134,438
67,1043
141,765
135,984
58,151
88,543
73,325
88,1362
62,1351
53,656
96,1185
133,363
92,344
53,959
73,1027
103,1052
131,1289
26,1368
146,417
136,1245
16,1051
1,548
143,493
70,215
103,876
116,967
6,974
56,1334
17,850
126,1526
93,866
135,920
85,887
136,1461
148,1450
22,362
149,217
16,1347
36,839
141,1482
7,987
81,313
120,497
73,594
133,311
96,869
9,508
120,1636
41,163
19,1439
76,594
31,158
92,1179
56,1428
92,827
128,922
81,1333
41,1519
136,1109
102,306
65,262
142,726
16,948
57,1059
56,1537
74,1262
148,1461
11,886
28,1316
135,620
90,1377
89,1275
121,758
15,350
64,753
81,270
95,970
31,1220
42,1165
66,1141
29,1007
113,965
23,508
122,1263
67,951
41,340
88,1343
107,196
21,1540
148,863
18,159
82,1574
92,432
42,956
102,1500
21,1092
140,1204
11,836
110,1599
115,1363
19,1054
4,195
72,891
78,1010
26,1562
8,1368
103,1181
2,1314
103,370
39,1189
33,426
47,701
42,440
64,543
121,598
25,1115
66,163
42,912
85,1628
33,1278
118,1238
57,1220
89,153
137,704
99,1542
